lesson_id,filename,script_text,voice_direction
words,birds are the cutest.mp3,<speak>Birds are the cutest</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,birds have feathers.mp3,<speak>Birds have feathers</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,fish are boring.mp3,<speak>Fish are boring</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,fish live in water.mp3,<speak>Fish live in water</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,plants need sunlight.mp3,<speak>Plants need sunlight</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,roses smell the best.mp3,<speak>Roses smell the best</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,as bright as the sun.mp3,<speak>as bright as the sun</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,because.mp3,<speak>because</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,bread.mp3,<speak>bread</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,climb.mp3,<speak>climb</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,cold.mp3,<speak>cold</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,cookie.mp3,<speak>cookie</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,doll.mp3,<speak>doll</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,draw.mp3,<speak>draw</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,glad.mp3,<speak>glad</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,house.mp3,<speak>house</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,however.mp3,<speak>however</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,joyful.mp3,<speak>joyful</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,kite.mp3,<speak>kite</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,large.mp3,<speak>large</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,like a rocket.mp3,<speak>like a rocket</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,nervous.mp3,<speak>nervous</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,proud.mp3,<speak>proud</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,rebuild.mp3,<speak>rebuild</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,rewrite.mp3,<speak>rewrite</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,sad.mp3,<speak>sad</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,similarly.mp3,<speak>similarly</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,sing.mp3,<speak>sing</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,the car is fast.mp3,<speak>the car is fast</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,the sun is bright.mp3,<speak>the sun is bright</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,therefore.mp3,<speak>therefore</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,unfair.mp3,<speak>unfair</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,unsafe.mp3,<speak>unsafe</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,upset.mp3,<speak>upset</speak>,"Read this like a friendly, clear teacher reading to a student:"
words,write.mp3,<speak>write</speak>,"Read this like a friendly, clear teacher reading to a student:"
