lesson_id,filename,script_text,voice_direction
RL.1.1,q1.mp3,<speak> Bella picked three red apples from the tree. She put them in her basket..<break time='1s'/> <emphasis level='moderate'>How many apples did Bella pick?</emphasis><break time='800ms'/> One? <break time='600ms'/> Two? <break time='600ms'/> Three? <break time='600ms'/> or Four? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.1,q1-hint.mp3,<speak>Here's a hint! Listen to the first sentence again . <break time='500ms'/> how many apples?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.1,q2.mp3,<speak> The frog sat on a lily pad in the pond. He was waiting for a fly..<break time='1s'/> <emphasis level='moderate'>Where was the frog sitting?</emphasis><break time='800ms'/> On a rock? <break time='600ms'/> On a lily pad? <break time='600ms'/> In the mud? <break time='600ms'/> or On the grass? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.1,q2-hint.mp3,<speak>Here's a hint! Listen to the first sentence . <break time='500ms'/> where did the frog sit?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.1,q3.mp3,<speak> Emma walked to school with her friend Jake. They talked about their favorite animals..<break time='1s'/> <emphasis level='moderate'>Who did Emma walk with?</emphasis><break time='800ms'/> Her mom? <break time='600ms'/> Her dog? <break time='600ms'/> Her friend Jake? <break time='600ms'/> or Her sister? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.1,q3-hint.mp3,<speak>Here's a hint! Listen to the first sentence . <break time='500ms'/> who walked with Emma?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.1,q4.mp3,<speak> Dad made pancakes for breakfast. He put blueberries on top..<break time='1s'/> <emphasis level='moderate'>What did Dad put on the pancakes?</emphasis><break time='800ms'/> Syrup? <break time='600ms'/> Chocolate chips? <break time='600ms'/> Blueberries? <break time='600ms'/> or Bananas? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.1,q4-hint.mp3,<speak>Here's a hint! Listen to the second sentence . <break time='500ms'/> what went on top?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.1,q5.mp3,<speak> The kitten climbed the tall tree. It was scared to come down..<break time='1s'/> <emphasis level='moderate'>How did the kitten feel?</emphasis><break time='800ms'/> Happy? <break time='600ms'/> Scared? <break time='600ms'/> Sleepy? <break time='600ms'/> or Hungry? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.1,q5-hint.mp3,<speak>Here's a hint! The second sentence tells you how the kitten felt.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.2,q1.mp3,"<speak> Tom wanted to win the race. He practiced running every day. On race day, he came in first!.<break time='1s'/> <emphasis level='moderate'>What is the lesson of this story?</emphasis><break time='800ms'/> Running is boring? <break time='600ms'/> Practice helps you get better? <break time='600ms'/> Races are scary? <break time='600ms'/> or Tom is the fastest kid? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.2,q1-hint.mp3,<speak>Here's a hint! What did Tom do before the race that helped him win?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.2,q2.mp3,<speak> Mia did not share her crayons. Her friends stopped playing with her. Mia felt sad and lonely..<break time='1s'/> <emphasis level='moderate'>What is the lesson of this story?</emphasis><break time='800ms'/> Crayons are important? <break time='600ms'/> Friends are mean? <break time='600ms'/> Sharing is important? <break time='600ms'/> or Drawing is fun? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.2,q2-hint.mp3,<speak>Here's a hint! What happened when Mia didn't share?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.2,q3.mp3,"<speak> The ant worked hard all summer saving food. The grasshopper played all day. When winter came, the ant had food but the grasshopper did not..<break time='1s'/> <emphasis level='moderate'>What is the lesson?</emphasis><break time='800ms'/> Playing is bad? <break time='600ms'/> It is good to plan ahead? <break time='600ms'/> Ants are better than grasshoppers? <break time='600ms'/> or Winter is cold? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.2,q3-hint.mp3,<speak>Here's a hint! Who was ready for winter and why?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.2,q4.mp3,"<speak> Leo tried to ride his bike but kept falling. His mom said, 'Keep trying!' After many tries, Leo could ride all by himself..<break time='1s'/> <emphasis level='moderate'>What happened first in the story?</emphasis><break time='800ms'/> Leo rode his bike? <break time='600ms'/> Mom said keep trying? <break time='600ms'/> Leo kept falling? <break time='600ms'/> or Leo stopped trying? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.2,q4-hint.mp3,<speak>Here's a hint! What happened at the beginning before he learned?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.2,q5.mp3,<speak> Sara told a lie about breaking the vase. She felt bad all day. She told the truth and felt much better..<break time='1s'/> <emphasis level='moderate'>What is the lesson?</emphasis><break time='800ms'/> Vases break easily? <break time='600ms'/> Lying makes you feel bad? <break time='600ms'/> Parents get angry? <break time='600ms'/> or Don't touch vases? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.2,q5-hint.mp3,<speak>Here's a hint! How did Sara feel after she told the truth vs. the lie?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.3,q1.mp3,<speak> The kind old woman lived in a tiny cottage by the sea. She fed the birds every morning..<break time='1s'/> <emphasis level='moderate'>Where does the story take place?</emphasis><break time='800ms'/> In a city? <break time='600ms'/> By the sea? <break time='600ms'/> In the mountains? <break time='600ms'/> or In a forest? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.3,q1-hint.mp3,<speak>Here's a hint! Look for the words that tell you where the woman lives.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.3,q2.mp3,<speak> Ben was always helping others. He carried bags for his neighbor and shared his lunch with friends..<break time='1s'/> <emphasis level='moderate'>What word best describes Ben?</emphasis><break time='800ms'/> Lazy? <break time='600ms'/> Kind? <break time='600ms'/> Shy? <break time='600ms'/> or Funny? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.3,q2-hint.mp3,<speak>Here's a hint! Think about what Ben does . <break time='500ms'/> helping and sharing.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.3,q3.mp3,"<speak> It was a dark and stormy night. The wind howled outside the old barn..<break time='1s'/> <emphasis level='moderate'>What is the setting?</emphasis><break time='800ms'/> A sunny beach? <break time='600ms'/> A dark, stormy barn? <break time='600ms'/> A busy school? <break time='600ms'/> or A quiet park? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.3,q3-hint.mp3,<speak>Here's a hint! The setting is WHERE and WHEN the story happens.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.3,q4.mp3,<speak> Rosa found a lost puppy. She gave it water and food. Then she found its owner..<break time='1s'/> <emphasis level='moderate'>What was the major event?</emphasis><break time='800ms'/> Rosa went to school? <break time='600ms'/> Rosa found a lost puppy? <break time='600ms'/> Rosa ate lunch? <break time='600ms'/> or Rosa played outside? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.3,q4-hint.mp3,<speak>Here's a hint! What is the most important thing that happened?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.3,q5.mp3,<speak> Grumpy Gus never smiled. He frowned at everyone. One day a little girl gave him a flower and he finally smiled..<break time='1s'/> <emphasis level='moderate'>How does Gus change in the story?</emphasis><break time='800ms'/> He gets angrier? <break time='600ms'/> He goes from grumpy to happy? <break time='600ms'/> He falls asleep? <break time='600ms'/> or He runs away? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.3,q5-hint.mp3,<speak>Here's a hint! How is Gus different at the end compared to the beginning?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.4,q1.mp3,<speak> The bright sun warmed her face..<break time='1s'/> <emphasis level='moderate'>Which word helps you feel the sun?</emphasis><break time='800ms'/> Sun? <break time='600ms'/> Bright? <break time='600ms'/> Her? <break time='600ms'/> or Face? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.4,q1-hint.mp3,<speak>Here's a hint! Which word helps you imagine what the sun looks and feels like?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.4,q2.mp3,<speak> The puppy whimpered softly in the rain..<break time='1s'/> <emphasis level='moderate'>How does the puppy probably feel?</emphasis><break time='800ms'/> Happy? <break time='600ms'/> Excited? <break time='600ms'/> Sad or scared? <break time='600ms'/> or Angry? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.4,q2-hint.mp3,<speak>Here's a hint! What does 'whimpered' sound like? Happy or sad?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.4,q3.mp3,<speak> The cookies smelled sweet and warm from the oven..<break time='1s'/> <emphasis level='moderate'>Which words appeal to your sense of smell?</emphasis><break time='800ms'/> Cookies and oven? <break time='600ms'/> Sweet and warm? <break time='600ms'/> The and from? <break time='600ms'/> or Smelled and the? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.4,q3-hint.mp3,<speak>Here's a hint! Which words describe how the cookies smell?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.4,q4.mp3,<speak> Jake stomped his feet and crossed his arms..<break time='1s'/> <emphasis level='moderate'>How does Jake feel?</emphasis><break time='800ms'/> Happy? <break time='600ms'/> Angry? <break time='600ms'/> Tired? <break time='600ms'/> or Silly? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.4,q4-hint.mp3,"<speak>Here's a hint! When people stomp and cross their arms, how do they usually feel?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.4,q5.mp3,"<speak> The soft, fluffy blanket kept her cozy all night..<break time='1s'/> <emphasis level='moderate'>Which words help you imagine how the blanket feels?</emphasis><break time='800ms'/> Kept and night? <break time='600ms'/> Soft and fluffy? <break time='600ms'/> Her and all? <break time='600ms'/> or Blanket and cozy? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.4,q5-hint.mp3,<speak>Here's a hint! Which words describe what the blanket feels like when you touch it?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.5,q1.mp3,<speak> <emphasis level='moderate'>A book about a talking rabbit who goes on an adventure is what type of book?</emphasis><break time='800ms'/> Informational? <break time='600ms'/> Storybook? <break time='600ms'/> Dictionary? <break time='600ms'/> or Cookbook? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.5,q1-hint.mp3,"<speak>Here's a hint! Can rabbits really talk? If it's made up, it's a story.</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.5,q2.mp3,<speak> <emphasis level='moderate'>A book with facts about how plants grow is what type of book?</emphasis><break time='800ms'/> Storybook? <break time='600ms'/> Poem? <break time='600ms'/> Informational book? <break time='600ms'/> or Fairy tale? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.5,q2-hint.mp3,<speak>Here's a hint! Does this book teach real facts or tell a made-up story?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.5,q3.mp3,<speak> <emphasis level='moderate'>Which is TRUE about storybooks?</emphasis><break time='800ms'/> They have only facts? <break time='600ms'/> They have made-up characters and events? <break time='600ms'/> They are always short? <break time='600ms'/> or They don't have pictures? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.5,q3-hint.mp3,<speak>Here's a hint! Stories come from someone's imagination.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.5,q4.mp3,<speak> <emphasis level='moderate'>Which is TRUE about informational books?</emphasis><break time='800ms'/> They have made-up characters? <break time='600ms'/> They teach real facts? <break time='600ms'/> They are always funny? <break time='600ms'/> or They have talking animals? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.5,q4-hint.mp3,<speak>Here's a hint! Informational means it gives you real information.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.5,q5.mp3,"<speak> <emphasis level='moderate'>Once upon a time, a brave knight saved a dragon. Is this from a story or an informational book?</emphasis><break time='800ms'/> Informational book? <break time='600ms'/> Story? <break time='600ms'/> Textbook? <break time='600ms'/> or News article? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.5,q5-hint.mp3,<speak>Here's a hint! 'Once upon a time' is a clue! Real fact books don't start this way.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.6,q1.mp3,<speak> I went to the store with my mom. I picked out a red apple..<break time='1s'/> <emphasis level='moderate'>Who is telling this story?</emphasis><break time='800ms'/> Mom? <break time='600ms'/> The store owner? <break time='600ms'/> The child (I)? <break time='600ms'/> or A teacher? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.6,q1-hint.mp3,<speak>Here's a hint! Listen to the word 'I' . <break time='500ms'/> who is the 'I' in the story?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.6,q2.mp3,<speak> Sam ran to the park. He played on the swings..<break time='1s'/> <emphasis level='moderate'>Who is telling this story?</emphasis><break time='800ms'/> Sam is telling it? <break time='600ms'/> A narrator outside the story? <break time='600ms'/> Sam's friend? <break time='600ms'/> or Sam's mom? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.6,q2-hint.mp3,<speak>Here's a hint! The story says 'He' not 'I' . <break time='500ms'/> someone else is telling us about Sam.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.6,q3.mp3,<speak> 'I love pizza!' said Maria..<break time='1s'/> <emphasis level='moderate'>Who is speaking?</emphasis><break time='800ms'/> The narrator? <break time='600ms'/> Maria? <break time='600ms'/> The pizza maker? <break time='600ms'/> or Maria's mom? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.6,q3-hint.mp3,<speak>Here's a hint! Listen to the words inside the quotation marks and who 'said' them.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.6,q4.mp3,"<speak> <emphasis level='moderate'>If a story uses the words 'I' and 'my,' who is telling it?</emphasis><break time='800ms'/> Someone outside the story? <break time='600ms'/> A character in the story? <break time='600ms'/> The author only? <break time='600ms'/> or No one? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.6,q4-hint.mp3,"<speak>Here's a hint! When you see 'I' and 'my,' a character is talking about themselves.</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.6,q5.mp3,<speak> 'Let's go!' shouted Tom. 'Wait for me!' called Lily..<break time='1s'/> <emphasis level='moderate'>Who says 'Wait for me'?</emphasis><break time='800ms'/> Tom? <break time='600ms'/> Lily? <break time='600ms'/> The narrator? <break time='600ms'/> or The teacher? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.6,q5-hint.mp3,<speak>Here's a hint! Look at who 'called' those words.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.7,q1.mp3,"<speak> <emphasis level='moderate'>If a picture shows a girl with a big smile and a trophy, how does the girl probably feel?</emphasis><break time='800ms'/> Sad? <break time='600ms'/> Proud and happy? <break time='600ms'/> Scared? <break time='600ms'/> or Bored? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.7,q1-hint.mp3,<speak>Here's a hint! What do smiles and trophies usually mean?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.7,q2.mp3,<speak> <emphasis level='moderate'>A picture shows snow on the ground and kids wearing coats. What season is it?</emphasis><break time='800ms'/> Summer? <break time='600ms'/> Spring? <break time='600ms'/> Winter? <break time='600ms'/> or Fall? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.7,q2-hint.mp3,<speak>Here's a hint! Snow and coats are clues about the season.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.7,q3.mp3,<speak> <emphasis level='moderate'>The story says 'The dog was big.' The picture shows a dog as tall as the boy. What do we learn from the picture?</emphasis><break time='800ms'/> The dog is small? <break time='600ms'/> The dog is as tall as the boy? <break time='600ms'/> The dog is sleeping? <break time='600ms'/> or The dog is brown? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.7,q3-hint.mp3,<speak>Here's a hint! The picture gives us more detail than just 'big.'</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.7,q4.mp3,<speak> <emphasis level='moderate'>Why are pictures in stories helpful?</emphasis><break time='800ms'/> They make the book heavier? <break time='600ms'/> They show us what characters and places look like? <break time='600ms'/> They are just for fun? <break time='600ms'/> or They replace the words? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.7,q4-hint.mp3,<speak>Here's a hint! Pictures give us extra information the words might not say.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.7,q5.mp3,<speak> <emphasis level='moderate'>A picture shows a boy with tears on his face standing next to a broken toy. How does the boy feel?</emphasis><break time='800ms'/> Excited? <break time='600ms'/> Sad? <break time='600ms'/> Tired? <break time='600ms'/> or Hungry? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.7,q5-hint.mp3,<speak>Here's a hint! Tears and a broken toy . <break time='500ms'/> what feeling does that show?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.9,q1.mp3,<speak> <emphasis level='moderate'>Story 1: A bear looks for honey. Story 2: A bee makes honey. What do both stories have in common?</emphasis><break time='800ms'/> Both are about bears? <break time='600ms'/> Both are about honey? <break time='600ms'/> Both are about bees? <break time='600ms'/> or Both are about the forest? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.9,q1-hint.mp3,<speak>Here's a hint! What topic do both stories share?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.9,q2.mp3,<speak> <emphasis level='moderate'>Story 1: Amy is brave and climbs a mountain. Story 2: Bob is brave and swims across a lake. How are Amy and Bob alike?</emphasis><break time='800ms'/> They both climb? <break time='600ms'/> They both swim? <break time='600ms'/> They are both brave? <break time='600ms'/> or They are both scared? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.9,q2-hint.mp3,<speak>Here's a hint! What trait do both characters share?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.9,q3.mp3,"<speak> <emphasis level='moderate'>Story 1: The cat stays inside all day. Story 2: The dog plays outside all day. How are the cat and dog DIFFERENT?</emphasis><break time='800ms'/> One stays inside, one goes outside? <break time='600ms'/> Both stay inside? <break time='600ms'/> Both go outside? <break time='600ms'/> or One is big, one is small? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.9,q3-hint.mp3,<speak>Here's a hint! Where does each animal spend the day?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.9,q4.mp3,"<speak> When we COMPARE two characters, we look for ways they are: Different The same Funny.<break time='1s'/> <emphasis level='moderate'>or Sad?</emphasis><break time='800ms'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.9,q4-hint.mp3,<speak>Here's a hint! Compare means to find what's similar.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.1.9,q5.mp3,"<speak> When we CONTRAST two characters, we look for ways they are: The same Different Happy.<break time='1s'/> <emphasis level='moderate'>or Tall?</emphasis><break time='800ms'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
